href,kind,text,brand_catalog,store,store_name,price_before,price_after,category_path
https://brand.naver.com/clarinskorea/products/6930191052,ad,[클라랑스 공식스토어] 엑스트라 퍼밍 넥 크림 세트 75ml,False,brand.naver.com/clarinskorea,클라랑스,144000,122400,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/8638632332,ad,[클라랑스 공식스토어] 예비맘 크림(바디 파트너) 175ml 세트,False,brand.naver.com/clarinskorea,클라랑스,88000,74800,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6930237071,ad,[클라랑스] 립 컴포트 오일 7ml (9 색상 택1),False,brand.naver.com/clarinskorea,클라랑스,41000,34850,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/9380713503,ad,[클라랑스 공식스토어] 수퍼 레스토러티브 넥 크림 75ml 세트,False,brand.naver.com/clarinskorea,클라랑스,164000,139400,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6930249470,ad,[클라랑스] 픽스 메이크업 셋 메이크업 50ml (메이크업 픽서),False,brand.naver.com/clarinskorea,클라랑스,45000,38250,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/8038967943,ad,[클라랑스] NEW 워터 립 스테인 7ml,False,brand.naver.com/clarinskorea,클라랑스,41000,34850,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6942270814,ad,[클라랑스 공식스토어] BEST 더블세럼 75ml 세트,False,brand.naver.com/clarinskorea,클라랑스,235000,199750,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6942395765,ad,[클라랑스 공식스토어] 예비맘 크림&오일 세트,False,brand.naver.com/clarinskorea,클라랑스,183000,155550,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6929982332,ad,[클라랑스] 페이스 오일 30ml (블루 오키드/로터스/쌍딸),False,brand.naver.com/clarinskorea,클라랑스,87000,73950,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6930086489,ad,[클라랑스] 토닝 로션 200ml (토너),False,brand.naver.com/clarinskorea,클라랑스,51000,43350,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/11047500114,ad,[클라랑스] NEW 립 오일 밤 2.9g,False,brand.naver.com/clarinskorea,클라랑스,41000,34850,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/8322016442,ad,[클라랑스] UV 플러스 선크림 50ml,False,brand.naver.com/clarinskorea,클라랑스,99000,84150,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6929932495,ad,[클라랑스] 토닉 바디 트리트먼트 오일 /앙티 오 바디 트리트먼트 오일 100ml,False,brand.naver.com/clarinskorea,클라랑스,95000,80750,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/6930204788,ad,[클라랑스] 맨 애프터 쉐이브 수딩 토너 100ml,False,brand.naver.com/clarinskorea,클라랑스,53000,45050,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/clarinskorea/products/7674858569,ad,[클라랑스] 토닉 배쓰 앤 샤워 콘센트레이트 200ml,False,brand.naver.com/clarinskorea,클라랑스,44000,37400,화장품/미용 > 스킨케어 > 넥케어
https://brand.naver.com/grabity/products/10170067994,ad,[짧은머리용] 그래비티 카이스트 특허 탈모샴푸 엑스트라 스트롱 475ml [예약판매 1월 14일 순차 출고],False,brand.naver.com/grabity,그래비티,38000,34900,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/11557822228,ad,엑스트라 스트롱 샴푸 1010ml 기획세트 (본품2 + 샴푸30mlx2) [예약판매 1월 14일 순차 출고],False,brand.naver.com/grabity,그래비티,76000,69800,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/10078155991,ad,[긴머리용] 그래비티 카이스트 특허 탈모샴푸 스트롱 475ml,False,brand.naver.com/grabity,그래비티,36000,36000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/11847762588,ad,[카이스트 특허]그래비티 헤어 리프팅샷 여행용 25ml 탈모완화 볼륨 미스트 웨이브 스타일링,False,brand.naver.com/grabity,그래비티,3000,3000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/10615277813,ad,[샴푸+트리트먼트] 그래비티 탈모샴푸 엑스트라 스트롱 475ml + 워터 트리트먼트 270ml + 미니 마켓백 [예약판매 1월 14일 순차 출고],False,brand.naver.com/grabity,그래비티,87000,72000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/10524860159,ad,그래비티 탈모샴푸 엑스트라 스트롱 475ml + 475ml +미니 마켓백 [예약판매 1월 14일 순차 출고],False,brand.naver.com/grabity,그래비티,91000,73000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/12119946375,ad,[1040ml 대용량세트] 그래비티스트롱 샴푸 + 리필 특별 기획 세트 (본품+리필+여행용3) 카이스트 특허 선물용 탈모완화 볼륨샴푸,False,brand.naver.com/grabity,그래비티,80500,65000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/10170794429,ad,[열미역팩] 그래비티 워터 트리트먼트 270ml 카이스트 특허 극손상 볼륨강화,False,brand.naver.com/grabity,그래비티,34000,34000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/11529610720,ad,그래비티 헤어리프팅 샴푸 스트롱 리필 475ml,False,brand.naver.com/grabity,그래비티,34000,34000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/9998906224,ad,그래비티 헤어리프팅 샴푸 스트롱 미니 30ml 탈모증상완화 극강볼륨,False,brand.naver.com/grabity,그래비티,3500,3500,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/11529641151,ad,[카이스트 특허]그래비티 헤어 리프팅샷 150ml 탈모완화 볼륨 미스트 웨이브 스타일링,False,brand.naver.com/grabity,그래비티,18500,18500,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/10195087103,ad,그래비티 헤어리프팅 샴푸 엑스트라 스트롱 미니 30ml 탈모증상완화 극강볼륨,False,brand.naver.com/grabity,그래비티,3500,3500,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/12679552051,ad,[그래비티X구롤] 구혜선 헤어롤 리미티드 에디션 2종 세트 (2종 중 택 1),False,brand.naver.com/grabity,그래비티,12800,12800,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/12679508141,ad,[그래비티X구롤] 구혜선 헤어롤 리미티드 에디션 단품 (4종 중 택 1),False,brand.naver.com/grabity,그래비티,6400,6400,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/grabity/products/11367418148,ad,[3종세트]그래비티 탈모샴푸 엑스트라 스트롱 475ml + 475ml + 475ml + 브러쉬,False,brand.naver.com/grabity,그래비티,134000,114000,화장품/미용 > 헤어케어 > 탈모케어
https://brand.naver.com/vivelab/products/12849385439,ad,바이브랩 4주 솔루션 초록 탈모 샴푸 500ml + 500ml 리필 SET,False,brand.naver.com/vivelab,바이브랩,140000,59000,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/5681069046,ad,"바이브랩 리바이브 테라피 헤어 브로우 래쉬 세럼 속눈썹영양제 10ml, 1개",False,brand.naver.com/vivelab,바이브랩,19000,19000,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/11002388200,ad,"바이브랩 리바이브 테라피 헤어 브로우 래쉬 세럼 속눈썹영양제 10ml, 2개",False,brand.naver.com/vivelab,바이브랩,108000,34900,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/9949281398,ad,"바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플 두피 탈모 앰플 시트러스, 15ml, 2개",False,brand.naver.com/vivelab,바이브랩,39900,39900,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/11075135346,ad,"바이브랩 4주 솔루션 초록 탈모 샴푸 우디플로럴머스크, 500ml, 3개",False,brand.naver.com/vivelab,바이브랩,252000,87000,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/9949572065,ad,"바이브랩 리바이브 테라피 헤어 스칼프 인핸싱 폼 두피 영양제 에센스 플로럴, 100ml, 2개",False,brand.naver.com/vivelab,바이브랩,54900,54900,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/12038143384,ad,"바이브랩 하이퍼 컬링 블랙 래쉬 세럼 (마스카라 대체 속눈썹영양제) 8ml, 2개",False,brand.naver.com/vivelab,바이브랩,108000,34900,화장품/미용 > 색조메이크업 > 속눈썹영양제
https://brand.naver.com/vivelab/products/11946941986,ad,SET) 올데이 케어 바이브랩 하이퍼 컬링 블랙 래쉬 세럼 + 헤어 브로우 래쉬 세럼,False,brand.naver.com/vivelab,바이브랩,34900,34900,화장품/미용 > 색조메이크업 > 속눈썹영양제
